team,champion_count,win_probability
France,1064,0.1064
Spain,910,0.091
England,838,0.0838
Argentina,806,0.0806
Brazil,700,0.07
Portugal,685,0.0685
Netherlands,528,0.0528
Germany,490,0.049
Belgium,410,0.041
Morocco,385,0.0385
Croatia,285,0.0285
Senegal,283,0.0283
Chile,251,0.0251
United States,213,0.0213
Turkiye,188,0.0188
Colombia,185,0.0185
Mexico,170,0.017
Japan,165,0.0165
Switzerland,159,0.0159
Uruguay,134,0.0134
Austria,118,0.0118
Denmark,113,0.0113
Iran,98,0.0098
Nigeria,90,0.009
Algeria,77,0.0077
South Korea,75,0.0075
Cameroon,72,0.0072
Australia,59,0.0059
Mali,59,0.0059
Ecuador,54,0.0054
Egypt,51,0.0051
Panama,43,0.0043
Canada,34,0.0034
Serbia,33,0.0033
Hungary,32,0.0032
Scotland,26,0.0026
Czech Republic,22,0.0022
Uzbekistan,20,0.002
Tunisia,15,0.0015
Venezuela,14,0.0014
South Africa,13,0.0013
Iraq,11,0.0011
Honduras,6,0.0006
Costa Rica,6,0.0006
Jordan,5,0.0005
Saudi Arabia,4,0.0004
New Zealand,1,0.0001
